District,2006 to 2007 in Metric Ton,2007 to 2008 in Metric Ton,2008 to 2009 in Metric Ton,2009 to 2010 in Metric Ton,2010 to 2011 in Metric Ton,2011 to 2012 in Metric Ton,2012 to 2013 in Metric Ton
Jabalpur,184970,126551,171450,158625,280496,243281,299369
Katni,41377,39595,74323,70815,59027,199357,259726
Balaghat,11431,13166,12263,19492,22942,20130,23716
Chindwara,198974,223408,175192,425244,388857,278799,438736
Seoni,101306,93405,90147,90484,102116,242742,374258
Mandala,24844,25260,26615,23004,16696,62159,69961
Narshinghpur,151925,157560,189672,169418,226878,176403,240816
Sagar,172583,131823,188219,244514,186539,351131,449696
Damoh,88409,99767,131749,136316,171444,150254,167966
Panna,57870,53192,88331,97074,89133,143847,156445
Tikamgarh,78242,27964,209207,168328,98994,371047,376243
Chhatarpur,119213,60129,195792,203935,169099,412496,436147
Rewa,133058,99275,165338,158014,111301,297386,383745
Sidhi,67560,54745,47029,45403,38122,88546,132652
Singrouli,0,0,28862,34956,35112,50328,65591
Satna,124806,88466,147780,173098,119063,321517,448587
Shahdol,17766,18010,20697,16849,17117,49154,69210
Anuppur,10118,8230,9059,8778,6963,14752,20455
Umaria,20348,18612,22726,20476,19931,51384,57128
Dindori,19184,14958,19352,19070,16037,31782,45359
Bhopal,127302,120087,126748,147055,127546,207547,247868
Sehore,363639,189009,226884,401066,327233,644654,503877
Raisen,311314,203912,266855,376514,278393,663866,788547
Vidisha,355793,202425,259612,370361,341573,470375,446263
Rajgarh,118208,103709,85755,145348,140386,323835,462594
Indore,332631,244343,134431,220142,271277,511291,582817
Dhar,436796,500035,298775,354861,453526,433339,548037
Jhabua,70912,77325,33627,44554,51628,65451,108169
Alirajpur,0,0,25303,24847,28584,28261,53421
Khargone,157695,181757,98463,224946,276617,262543,290562
Barwani,62945,51908,62053,49080,83053,136268,105232
Khandwa,107787,107889,115626,120084,154778,231552,363043
Burhanpur,18792,19911,20148,19398,24756,28148,31767
Ujjain,548854,341111,184325,318571,237773,402096,622908
Mandsour,195095,131182,126641,156950,122687,366951,358928
Neemuch,85246,58988,74945,61841,92087,132142,162835
Ratlam,245060,228866,196442,218287,276787,185282,306441
Dewas,270931,215031,211020,247949,247471,479929,550848
Shajapur,196803,164910,134835,221344,182142,350739,260684
Morena,221864,159799,184830,179778,221759,412147,382423
Sheopur,85488,93383,94285,144007,173500,352679,354225
Bhind,133424,102508,177929,214197,185215,303846,358415
Gwalior,187030,111365,229108,189873,254063,396967,420858
Shivpuri,178325,110157,224004,250416,298074,532820,664134
Guna,131288,119369,143443,127375,187919,328821,425775
Ashoknagar,140309,119871,147956,173044,193043,291230,325956
Betul,169236,151820,229352,290873,260159,344936,408540
Betul,145019,153407,168042,181637,137266,212083,263370
Hoshangabad,568680,698551,607398,700109,853964,1186378,1015365
Harda,249996,412619,369572,406978,560655,694367,580816
Total,7840446,6729363,7272210,8865378,9219781,14537038,16510524
,,,,,,,
